TERM_CD,CRS_SUBJ_CD,CRS_SUBJ_DESC,CRS_NBR,CRS_TITLE,COLL_CD,COLL_NAME,DEPT_CD,DEPT_NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,name1,name2,name3,grade_regs
220198,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",10,25,22,2,1,0,0,0,0,0,0,0,0,0,0,7,"Jabir, Johari",,,67
220198,AAST,"African American Studies",110,"Intro Af Amer Lit, 1760-1910",FT,"Liberal Arts & Sciences",2363,"Black Studies",7,13,1,0,1,0,0,0,2,0,0,0,0,0,0,1,"Clarke, Ainsworth A.",,,25
220198,AAST,"African American Studies",221,"The Atlantic Slave Trade",FT,"Liberal Arts & Sciences",2316,History,9,16,7,0,1,0,0,0,2,0,0,0,0,0,0,5,"Hoppe, Kirk A",,,40
220198,AAST,"African American Studies",225,"Racial and Ethnic Groups",FT,"Liberal Arts & Sciences",2772,Sociology,3,7,2,0,4,0,0,0,0,0,0,0,0,0,0,1,"Macias, Patrisia","Grad Asst","Grad Asst",17
220198,AAST,"African American Studies",246,"Black Lives in Hist Context",FT,"Liberal Arts & Sciences",2363,"Black Studies",2,17,4,1,1,0,0,0,1,0,0,0,0,0,0,0,"Rhodes, Jane",,,26
220198,AAST,"African American Studies",248,"African Amer Hist since 1877",FT,"Liberal Arts & Sciences",2363,"Black Studies",3,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,"Jones, Julius Langston",,,16
220198,AAST,"African American Studies",261,"Reading Black Women Writing",FT,"Liberal Arts & Sciences",2363,"Black Studies",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,"Jackson, Lynette A.",,,10
220198,AAST,"African American Studies",262,"Black Performance",FT,"Liberal Arts & Sciences",2363,"Black Studies",12,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,"LaMothe, Mario Jacques",,,19
220198,AAST,"African American Studies",294,"Policing in Chicago",FT,"Liberal Arts & Sciences",2363,"Black Studies",18,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Clarno, Andrew J",,,35
220198,AAST,"African American Studies",351,"New Black Aesthetics",FT,"Liberal Arts & Sciences",2363,"Black Studies",3,4,0,0,2,0,0,0,1,0,0,0,0,0,0,1,"Dubey, Madhu",,,11
220198,ACTG,Accounting,210,"Intr Fin Acct for Bus Scholar",FL,"Business Administration",2656,Accounting,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Galvan, Abel",,,16
220198,ACTG,Accounting,210,"Intro Fin Acct for Actg Major",FL,"Business Administration",2656,Accounting,8,4,5,0,1,0,0,0,0,0,0,0,0,0,0,3,"Galvan, Abel",,,21
220198,ACTG,Accounting,210,"Intro Fin Acct for Actg Majors",FL,"Business Administration",2656,Accounting,33,31,20,3,5,0,0,0,0,0,0,0,0,0,0,12,"Galvan, Abel",,,104
220198,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,45,89,70,24,7,0,0,0,0,0,0,0,0,0,0,5,"Eccher, Elizabeth",,,240
220198,ACTG,Accounting,210,"Intro Financial Accounting BBA",FL,"Business Administration",2656,Accounting,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jastrzebski, Ronald J",,,21
220198,ACTG,Accounting,211,"Intro Managerial Accounting",FL,"Business Administration",2656,Accounting,44,67,50,17,7,0,0,0,0,0,0,0,0,0,0,4,"Jastrzebski, Ronald J",,,189
220198,ACTG,Accounting,211,"Intro Mang Acct for Actg Major",FL,"Business Administration",2656,Accounting,30,24,14,4,4,0,0,0,0,0,0,0,0,0,0,4,"Awad, Abigail Marian",,,80
220198,ACTG,Accounting,315,"Intermediate Financial Actg I",FL,"Business Administration",2656,Accounting,21,34,23,0,2,0,0,0,0,0,0,0,0,0,0,10,"Raval, Vivek",,,90
220198,ACTG,Accounting,316,"Intermediate Financial Actg II",FL,"Business Administration",2656,Accounting,10,26,43,14,4,0,0,0,0,0,0,0,0,0,0,5,"Salama, Yehia A.",,,102
220198,ACTG,Accounting,326,"Cost Accounting",FL,"Business Administration",2656,Accounting,26,35,25,5,3,0,0,0,0,0,0,0,0,0,0,6,"Patrick, Paige",,,100
220198,ACTG,Accounting,355,"Business Law I",FL,"Business Administration",2656,Accounting,10,4,2,2,1,0,0,0,0,0,0,0,0,0,0,1,"Leahy, Edward",,,20
220198,ACTG,Accounting,355,"Business Law I",FL,"Business Administration",2656,Accounting,16,16,12,8,2,0,0,0,0,0,0,0,0,0,0,2,"Scully, George",,,56
220198,ACTG,Accounting,417,"Adv Financial Accounting",FL,"Business Administration",2656,Accounting,8,15,14,3,0,0,0,0,0,0,0,0,0,0,0,3,"Chen, Gary",,,43
220198,ACTG,Accounting,435,Auditing,FL,"Business Administration",2656,Accounting,31,38,21,0,0,0,0,0,0,0,0,0,0,0,0,1,"Judd, Joshua Scott",,,91
220198,ACTG,Accounting,445,"Federal Income Tax I",FL,"Business Administration",2656,Accounting,20,33,6,3,1,0,0,0,0,0,0,0,0,0,0,2,"Savor, Stephanie Sikes",,,65
220198,ACTG,Accounting,446,"Federal Income Tax II",FL,"Business Administration",2656,Accounting,9,15,10,0,1,0,0,0,0,0,0,0,0,0,0,1,"Kemp, Robert E",,,36
220198,ACTG,Accounting,470,"Ethical Environment Business",FL,"Business Administration",2656,Accounting,36,29,9,1,1,0,0,0,0,0,0,0,0,0,0,1,"Scully, George",,,77
220198,ACTG,Accounting,474,"Actg Information Systems",FL,"Business Administration",2656,Accounting,24,21,6,3,0,0,0,0,0,0,0,0,0,0,0,2,"Chen, Jason Victor",,,56
220198,ACTG,Accounting,475,"Database Accounting Systems",FL,"Business Administration",2656,Accounting,4,3,10,7,0,0,0,0,0,0,0,0,0,0,0,1,"Kupchek, Michael J",,,25
220198,ACTG,Accounting,475,"Database Accounting Systems",FL,"Business Administration",2656,Accounting,5,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,"Popowits, Michael T",,,18
220198,ACTG,Accounting,476,"Enterprise Acctng Systems",FL,"Business Administration",2656,Accounting,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kupchek, Michael J",,,10
220198,ACTG,Accounting,484,"International Accounting",FL,"Business Administration",2656,Accounting,2,9,5,0,0,0,0,0,0,0,0,0,0,0,0,1,"Salama, Yehia A.",,,17
220198,ACTG,Accounting,493,"Actg Cases Research & Analysis",FL,"Business Administration",2656,Accounting,30,36,12,4,0,0,0,0,0,0,0,0,0,0,0,0,"Engel, Ellen",,,82
220198,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Mc Donagh, Eamonn Michael",,,18
220198,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,13,15,5,1,0,0,0,0,1,0,0,0,0,0,0,0,"Kemp, Robert E",,,35
220198,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,22,20,1,0,0,0,0,0,0,0,39,0,0,0,0,1,"Goodman, Charles Joseph",,,83
220198,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,27,21,2,0,1,0,0,0,1,0,0,0,0,0,0,1,"Demerjian, Peter",,,53
220198,ACTG,Accounting,502,"Financial Accounting I",FL,"Business Administration",2656,Accounting,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Galvan, Abel",,,13
220198,ACTG,Accounting,510,"Fin & Man Actg-Healthcare MGMT",FL,"Business Administration",2656,Accounting,15,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Andes, Steven",,,20
220198,ACTG,Accounting,516,"Financial Statement Analysis",FL,"Business Administration",2656,Accounting,21,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Ramakrishnan, Ram T S",,,41
220198,ACTG,Accounting,537,"Fraud Examination",FL,"Business Administration",2656,Accounting,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Popowits, Michael T",,,24
220198,AH,"Art History",100,"Intro to Art &Art History",FR,"Architecture,Design,& the Arts",2910,"Art History",12,17,11,3,0,0,0,0,1,0,0,0,0,0,0,6,"Stimson, Blake",,,50
220198,AH,"Art History",100,"Intro to Art &Art History",FR,"Architecture,Design,& the Arts",2910,"Art History",17,15,6,1,0,0,0,0,0,0,0,0,0,0,0,1,"Grad Asst",,,40
220198,AH,"Art History",100,"Intro to Art &Art History",FR,"Architecture,Design,& the Arts",2910,"Art History",23,24,12,1,2,0,0,0,2,0,0,0,0,0,0,6,"Archias, S Elise",,,70
220198,AH,"Art History",110,"World Hist Art & Built Env I",FR,"Architecture,Design,& the Arts",2910,"Art History",76,88,64,28,28,0,0,0,7,0,0,0,0,0,0,32,"Finegold, Andrew",,,323
220198,AH,"Art History",122,"Chicago Architecture",FR,"Architecture,Design,& the Arts",2910,"Art History",15,20,1,0,3,0,0,0,0,0,0,0,0,0,0,1,"Grad Asst",,,40
220198,AH,"Art History",160,"Trends in Contemp Art",FR,"Architecture,Design,& the Arts",2910,"Art History",13,30,18,5,2,0,0,0,0,0,0,0,0,0,0,2,"Stimson, Blake",,,70
220198,AH,"Art History",180,"Intro to Museum & Exhibition",FR,"Architecture,Design,& the Arts",2910,"Art History",14,4,5,4,1,0,0,0,0,0,0,0,0,0,0,2,"Grad Asst",,,30
220198,AH,"Art History",204,"Greek Art & Archaeology",FT,"Liberal Arts & Sciences",2349,"Classics & Mediterran Studies",3,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,"Ros, Karen E",,,15
220198,AH,"Art History",232,"Film History I: 1890-WWII",FT,"Liberal Arts & Sciences",2492,English,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,"Rubin, Martin L.","Grad Asst",,12
220198,AH,"Art History",235,"History of Design I",FR,"Architecture,Design,& the Arts",2895,"School of Design",3,7,2,3,0,0,0,0,0,0,0,0,0,0,0,4,"Mekinda, Jonathan",,,19
220198,AH,"Art History",246,"European Avant-Garde",FT,"Liberal Arts & Sciences",2382,"Pol, Russ & Lith Studies",16,9,4,0,3,0,0,0,0,0,1,0,0,0,0,0,"Vaingurt, Julia",,,33
220198,AH,"Art History",260,"European Art 1750 to 1900",FR,"Architecture,Design,& the Arts",2910,"Art History",5,13,12,0,1,0,0,0,1,0,0,0,0,0,0,2,"Dubin, Nina",,,34
220198,AH,"Art History",262,"American Art to 1945",FR,"Architecture,Design,& the Arts",2910,"Art History",8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Grad Asst",,,14
220198,AH,"Art History",263,"Latin Amer Colonial Art",FR,"Architecture,Design,& the Arts",2910,"Art History",14,7,8,3,2,0,0,0,0,0,0,0,0,0,0,1,"Ortega, Emmanuel",,,35
220198,AH,"Art History",275,"South Asian Visual Cultures",FR,"Architecture,Design,& the Arts",2910,"Art History",13,11,5,3,0,0,0,0,4,0,0,0,0,0,0,3,"Becker, Catherine",,,39
220198,AH,"Art History",301,"Theory&Method/Art History",FR,"Architecture,Design,& the Arts",2910,"Art History",6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,"Dubin, Nina",,,15
220198,AH,"Art History",303,"Writing in Art History",FR,"Architecture,Design,& the Arts",2910,"Art History",6,3,4,1,0,0,0,0,0,0,0,0,0,0,0,1,"Archias, S Elise",,,15
220198,AH,"Art History",510,"Methods in Art History",FR,"Architecture,Design,& the Arts",2910,"Art History",14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Stimson, Blake",,,16
220198,AH,"Art History",562,"Issues in Art of the Americas",FR,"Architecture,Design,& the Arts",2910,"Art History",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ortega, Emmanuel",,,15
220198,AH,"Art History",599,"Dissertation Research",FR,"Architecture,Design,& the Arts",2910,"Art History",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,"Dubin, Nina",,,18
220198,AHS,"Applied Health Sciences",101,"Experiential Learning I",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",0,0,0,0,0,0,0,0,0,0,0,0,0,89,1,0,"Wescott, Jennifer J",,,90
220198,AHS,"Applied Health Sciences",200,"Intro Integrated Health",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",123,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Kieso, Tiana Al-Aswad",,,136
220198,AHS,"Applied Health Sciences",210,"Intro to Rehab Science",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",63,10,1,0,0,0,0,0,1,0,1,0,0,0,0,1,"Hasnain, Rooshey",,,77
220198,AHS,"Applied Health Sciences",294,"First Year Seminar in AHS",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",58,13,7,6,6,0,0,0,0,0,0,0,0,0,0,0,"Doran, Eileen Marie","Birckhead, Laura",,90
220198,AHS,"Applied Health Sciences",304,"Sexuality and Health",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",31,9,4,0,0,0,0,0,0,0,0,0,0,0,0,1,"Goodman, Leah A",,,45
220198,AHS,"Applied Health Sciences",325,"Rehab Case Management",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",17,10,1,3,1,0,0,0,0,0,0,0,0,0,0,0,"Schwartz, Orit",,,32
220198,AHS,"Applied Health Sciences",330,"Phys and Mental Hlth in Rehab",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",28,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,"Schwartz, Orit",,,40
220198,AHS,"Applied Health Sciences",365,"Measurement in Rehab",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",17,19,4,0,0,0,0,0,0,0,0,0,0,0,0,1,"Bulanda, Michelle M",,,41
220198,AHS,"Applied Health Sciences",375,"Ethics, Law in Health",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",98,14,3,0,2,0,0,0,1,0,0,0,0,0,0,2,"Swirsky, Eric S",,,120
220198,AHS,"Applied Health Sciences",393,"Health Science Experience",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,"Kieso, Tiana Al-Aswad",,,17
220198,AHS,"Applied Health Sciences",393,"Health Science Experience",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",0,0,0,0,0,0,0,0,1,0,0,0,0,49,1,0,"Bulanda, Michelle M",,,51
220198,AHS,"Applied Health Sciences",402,"Inter-professional Seminar",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",49,14,6,0,1,0,0,0,0,0,0,0,0,0,0,1,"Wescott, Jennifer J",,,71
220198,AHS,"Applied Health Sciences",425,"Pediatric Rehabilitation",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bulanda, Michelle M",,,11
220198,AHS,"Applied Health Sciences",511,"Biostatistics I",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chen, Jinsong",,,15
