TERM_CD,CRS_SUBJ_CD,CRS_SUBJ_DESC,CRS_NBR,CRS_TITLE,COLL_CD,COLL_NAME,DEPT_CD,DEPT_NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,name1,name2,name3,grade_regs
220128,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",10,12,6,2,2,0,0,0,0,0,24,0,0,0,0,4,"Losier, Toussaint Godley",,,60
220128,AAST,"African American Studies",103,"African Amer Politics&Culture",FT,"Liberal Arts & Sciences",2363,"Black Studies",7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,"Johnson, Cedric",,,20
220128,AAST,"African American Studies",110,"Intro Af Amer Lit, 1760-1910",FT,"Liberal Arts & Sciences",2363,"Black Studies",4,11,1,0,2,0,0,0,0,0,0,0,0,0,0,0,"Dubey, Madhu",,,18
220128,AAST,"African American Studies",241,"Pre-Colonial Africa",FT,"Liberal Arts & Sciences",2316,History,9,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"Schultz, Kevin M",,,13
220128,AAST,"African American Studies",247,"African American Hist to 1877",FT,"Liberal Arts & Sciences",2363,"Black Studies",15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Capers, Corey N.",,,17
220128,AAST,"African American Studies",262,"Black Cultural Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",2,11,3,0,0,0,0,0,2,0,0,0,0,0,0,1,"Jabir, Johari",,,19
220128,AAST,"African American Studies",271,"Afr Amer & Politcs Incarceratn",FT,"Liberal Arts & Sciences",2363,"Black Studies",5,6,1,0,2,0,0,0,0,0,1,0,0,0,0,0,"Jun, Helen Heran",,,15
220128,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,39,84,107,24,15,0,0,0,0,0,0,0,0,0,0,10,"Galvan, Abel",,,279
220128,ACTG,Accounting,211,"Intro Managerial Accounting",FL,"Business Administration",2656,Accounting,70,54,59,26,8,0,0,0,1,0,0,0,0,0,0,7,"Lee, Sung-Han",,,225
220128,ACTG,Accounting,315,"Intermediate Financial Actg I",FL,"Business Administration",2656,Accounting,14,24,51,16,5,0,0,0,0,0,0,0,0,0,0,8,"Leventhal, Brian W",,,118
220128,ACTG,Accounting,316,"Intermediate Financial Actg II",FL,"Business Administration",2656,Accounting,10,22,30,18,2,0,0,0,0,0,0,0,0,0,0,2,"Pandit, Shailendra",,,84
220128,ACTG,Accounting,326,"Cost Accounting",FL,"Business Administration",2656,Accounting,17,22,28,8,2,0,0,0,0,0,0,0,0,0,0,10,"Salama, Yehia A.",,,87
