TERM_CD,CRS_SUBJ_CD,CRS_SUBJ_DESC,CRS_NBR,CRS_TITLE,COLL_CD,COLL_NAME,DEPT_CD,DEPT_NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,name1,name2,name3,grade_regs
220188,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",25,24,12,0,5,0,0,0,0,0,0,0,0,0,0,4,"Rhodes, Jane",,,70
220188,AAST,"African American Studies",110,"Intro Af Amer Lit, 1760-1910",FT,"Liberal Arts & Sciences",2363,"Black Studies",5,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,"Dubey, Madhu",,,22
220188,AAST,"African American Studies",125,"AfAm Religious Traditions",FT,"Liberal Arts & Sciences",2363,"Black Studies",5,11,11,1,0,0,0,0,0,0,0,0,0,0,0,3,"Jabir, Johari",,,31
220188,AAST,"African American Studies",210,"Art/Archaeology of Egypt",FT,"Liberal Arts & Sciences",2349,"Classics & Mediterran Studies",6,1,1,1,2,0,0,0,0,0,0,0,0,0,0,2,"Tobin, Jennifer L",,,13
220188,AAST,"African American Studies",225,"Racial and Ethnic Groups",FT,"Liberal Arts & Sciences",2772,Sociology,10,1,3,1,2,0,0,0,0,0,0,0,0,0,0,3,"Grad Asst","Grad Asst","Grad Asst",20
220188,AAST,"African American Studies",229,"Topics in African Diasporas",FT,"Liberal Arts & Sciences",2363,"Black Studies",6,10,3,1,0,0,0,2,0,0,0,0,0,0,0,0,"Jackson, Lynette A.",,,22
220188,AAST,"African American Studies",246,"Black Lives in Hist Context",FT,"Liberal Arts & Sciences",2363,"Black Studies",8,7,8,0,0,0,0,0,0,0,0,0,0,0,0,4,"Jabir, Johari",,,27
220188,AAST,"African American Studies",249,"Black Freedom Movements",FT,"Liberal Arts & Sciences",2363,"Black Studies",5,13,3,0,0,0,0,0,1,0,0,0,0,0,0,0,"Ferguson, Roderick A",,,22
220188,AAST,"African American Studies",265,"The Harlem Renaissance",FT,"Liberal Arts & Sciences",2363,"Black Studies",4,6,0,0,1,0,0,0,2,0,0,0,0,0,0,0,"Clarke, Ainsworth A.",,,13
220188,AAST,"African American Studies",294,"Performing Black Spirituality",FT,"Liberal Arts & Sciences",2363,"Black Studies",10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"LaMothe, Mario Jacques",,,15
220188,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,3,16,3,0,0,0,0,0,0,0,0,0,0,0,0,1,"Pandit, Shailendra",,,23
220188,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,14,30,14,10,3,0,0,0,0,0,0,0,0,0,0,2,"Pandit, Shailendra",,,73
220188,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,5,5,13,3,1,0,0,0,0,0,0,0,0,0,0,4,"Salama, Yehia A.",,,31
220188,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,19,55,57,33,29,0,0,0,0,0,1,0,0,0,0,71,"Galvan, Abel",,,265
220188,ACTG,Accounting,210,"Intro Financial Accounting BBA",FL,"Business Administration",2656,Accounting,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jastrzebski, Ronald J",,,28
220188,ACTG,Accounting,211,"Intro Managerial Accounting",FL,"Business Administration",2656,Accounting,17,63,70,31,21,0,0,0,1,0,0,0,0,0,0,11,"Jastrzebski, Ronald J",,,214
220188,ACTG,Accounting,211,"Intro Managerial Accounting",FL,"Business Administration",2656,Accounting,15,25,15,5,2,0,0,0,0,0,0,0,0,0,0,6,"Awad, Abigail Marian",,,68
220188,ACTG,Accounting,315,"Intermediate Financial Actg I",FL,"Business Administration",2656,Accounting,21,26,31,11,1,0,0,0,0,0,0,0,0,0,0,5,"Raval, Vivek",,,95
220188,ACTG,Accounting,316,"Intermediate Financial Actg II",FL,"Business Administration",2656,Accounting,35,37,5,0,0,0,0,0,0,0,0,0,0,0,0,2,"Zhong, Rong",,,79
220188,ACTG,Accounting,326,"Cost Accounting",FL,"Business Administration",2656,Accounting,10,27,17,3,1,0,0,0,0,0,0,0,0,0,0,1,"Kemp, Robert E",,,59
220188,ACTG,Accounting,326,"Cost Accounting",FL,"Business Administration",2656,Accounting,34,21,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"Jastrzebski, Ronald J",,,60
220188,ACTG,Accounting,355,"Business Law I",FL,"Business Administration",2656,Accounting,8,15,8,2,0,0,0,0,0,0,0,0,0,0,0,2,"Leahy, Edward",,,35
220188,ACTG,Accounting,355,"Business Law I",FL,"Business Administration",2656,Accounting,28,23,6,0,0,0,0,0,0,0,0,0,0,0,0,2,"Scully, George",,,59
