TERM_CD,CRS_SUBJ_CD,CRS_SUBJ_DESC,CRS_NBR,CRS_TITLE,COLL_CD,COLL_NAME,DEPT_CD,DEPT_NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,name1,name2,name3,grade_regs
220178,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",11,19,19,3,1,0,0,0,0,0,0,0,0,0,0,3,"Jabir, Johari",,,56
220178,AAST,"African American Studies",110,"Intro Af Amer Lit, 1760-1910",FT,"Liberal Arts & Sciences",2363,"Black Studies",9,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,"Dubey, Madhu",,,21
220178,AAST,"African American Studies",125,"AfAm Religious Traditions",FT,"Liberal Arts & Sciences",2363,"Black Studies",13,15,7,0,0,0,0,0,0,0,0,0,0,0,0,3,"Jabir, Johari",,,38
220178,AAST,"African American Studies",221,"The Atlantic Slave Trade",FT,"Liberal Arts & Sciences",2316,History,10,15,1,0,0,0,0,0,2,0,0,0,0,0,0,0,"Hoppe, Kirk A",,,28
220178,AAST,"African American Studies",225,"Racial and Ethnic Groups",FT,"Liberal Arts & Sciences",2772,Sociology,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,"Muhammad, Ray",,,18
220178,AAST,"African American Studies",229,"Topics in African Diasporas",FT,"Liberal Arts & Sciences",2363,"Black Studies",4,6,2,0,0,0,0,1,0,0,0,0,0,0,0,4,"Jackson, Lynette A.",,,17
220178,AAST,"African American Studies",246,"Black Lives in Hist Context",FT,"Liberal Arts & Sciences",2363,"Black Studies",3,11,4,4,1,0,0,0,0,0,0,0,0,0,0,4,"Blair, Cynthia M",,,27
220178,AAST,"African American Studies",249,"Black Freedom Movements",FT,"Liberal Arts & Sciences",2363,"Black Studies",2,15,4,1,0,0,0,0,0,0,1,0,0,0,0,1,"Rhodes, Jane",,,24
220178,AAST,"African American Studies",258,"Race and Urban Life",FT,"Liberal Arts & Sciences",2363,"Black Studies",3,10,3,0,0,0,0,0,1,0,0,0,0,0,0,1,"Lewis, Amanda E",,,18
220178,AAST,"African American Studies",265,"The Harlem Renaissance",FT,"Liberal Arts & Sciences",2363,"Black Studies",9,3,0,2,0,0,0,0,2,0,0,0,0,0,0,1,"Clarke, Ainsworth A.",,,17
220178,AAST,"African American Studies",271,"Afr Amer & Politcs Incarceratn",FT,"Liberal Arts & Sciences",2363,"Black Studies",8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Grad Asst",,,10
220178,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,9,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,"Pandit, Shailendra",,,25
220178,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,8,32,20,6,5,0,0,0,0,0,0,0,0,0,0,15,"Pandit, Shailendra",,,86
220178,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jastrzebski, Ronald J",,,13
220178,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,29,67,62,42,35,0,0,0,0,0,0,0,0,0,0,72,"Galvan, Abel",,,307
220178,ACTG,Accounting,211,"Intro Managerial Accounting",FL,"Business Administration",2656,Accounting,32,82,61,23,15,0,0,0,0,0,0,0,0,0,0,6,"Jastrzebski, Ronald J",,,219
220178,ACTG,Accounting,211,"Intro Managerial Accounting",FL,"Business Administration",2656,Accounting,12,34,16,9,7,0,0,0,0,0,0,0,0,0,0,9,"Thomas, Barbara Ann",,,87
220178,ACTG,Accounting,315,"Intermediate Financial Actg I",FL,"Business Administration",2656,Accounting,24,30,44,4,3,0,0,0,0,0,0,0,0,0,0,6,"Raval, Vivek",,,111
220178,ACTG,Accounting,316,"Intermediate Financial Actg II",FL,"Business Administration",2656,Accounting,12,12,26,9,3,0,0,0,0,0,0,0,0,0,0,12,"Salama, Yehia A.",,,74
220178,ACTG,Accounting,326,"Cost Accounting",FL,"Business Administration",2656,Accounting,60,37,8,0,0,0,0,0,1,0,0,0,0,0,0,2,"Jastrzebski, Ronald J",,,108
220178,ACTG,Accounting,355,"Business Law I",FL,"Business Administration",2656,Accounting,18,19,9,0,3,0,0,0,0,0,0,0,0,0,0,0,"Scully, George",,,49
220178,ACTG,Accounting,355,"Business Law I",FL,"Business Administration",2656,Accounting,26,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marutzky, Eileen",,,48
