TERM_CD,CRS_SUBJ_CD,CRS_SUBJ_DESC,CRS_NBR,CRS_TITLE,COLL_CD,COLL_NAME,DEPT_CD,DEPT_NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,name1,name2,name3,grade_regs
220118,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",5,18,33,10,9,0,0,0,0,0,0,0,0,0,0,7,"Jabir, Johari",,,82
220118,AAST,"African American Studies",201,"Psych of African Americans",FT,"Liberal Arts & Sciences",2363,"Black Studies",5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mock, Lynne",,,11
220118,AAST,"African American Studies",229,"Africa and its Diasporas",FT,"Liberal Arts & Sciences",2363,"Black Studies",5,13,6,0,0,0,0,0,0,0,2,0,0,0,0,1,"Jackson, Lynette A.",,,27
220118,AAST,"African American Studies",241,"Pre-Colonial Africa",FT,"Liberal Arts & Sciences",2316,History,0,13,9,3,3,0,0,0,0,0,0,0,0,0,0,2,"Searing, James F",,,30
220118,AAST,"African American Studies",247,"African American Hist to 1877",FT,"Liberal Arts & Sciences",2363,"Black Studies",9,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Capers, Corey N.",,,25
220118,AAST,"African American Studies",250,"Comparative Black Literatures",FT,"Liberal Arts & Sciences",2363,"Black Studies",2,5,3,1,2,0,0,0,0,0,0,0,0,0,0,1,"Barnes, Natasha B.",,,14
220118,AAST,"African American Studies",262,"Black Cultural Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",7,11,4,2,0,0,0,0,0,0,1,0,0,0,0,4,"Jabir, Johari",,,29
220118,AAST,"African American Studies",340,"Adv Interdisc Sem in AAST",FT,"Liberal Arts & Sciences",2363,"Black Studies",4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Blair, Cynthia M",,,14
220118,AAST,"African American Studies",481,"Topics African & Afr Amer Hist",FT,"Liberal Arts & Sciences",2363,"Black Studies",0,7,3,2,0,0,0,0,0,0,1,0,0,0,0,1,"Blair, Cynthia M",,,14
220118,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,54,84,99,35,5,0,0,0,0,0,1,0,0,0,0,11,"Li, Siyi",,,289
220118,ACTG,Accounting,211,"Intro Managerial Accounting",FL,"Business Administration",2656,Accounting,63,54,62,27,8,0,0,0,1,0,0,0,0,0,0,20,"Lee, Sung-Han",,,235
220118,ACTG,Accounting,315,"Intermediate Financial Actg I",FL,"Business Administration",2656,Accounting,12,23,41,13,12,0,0,0,0,0,1,0,0,0,0,16,"Leventhal, Brian W",,,118
220118,ACTG,Accounting,316,"Intermediate Financial Actg II",FL,"Business Administration",2656,Accounting,10,25,29,14,4,0,0,0,0,0,0,0,0,0,0,2,"Pandit, Shailendra",,,84
