TERM_CD,CRS_SUBJ_CD,CRS_SUBJ_DESC,CRS_NBR,CRS_TITLE,COLL_CD,COLL_NAME,DEPT_CD,DEPT_NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,name1,name2,name3,grade_regs
220138,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",11,28,16,6,0,0,0,0,0,0,0,0,0,0,0,4,"Jabir, Johari",,,65
220138,AAST,"African American Studies",110,"Intro Af Amer Lit, 1760-1910",FT,"Liberal Arts & Sciences",2363,"Black Studies",8,9,2,1,1,0,0,0,0,0,0,0,0,0,0,1,"Dubey, Madhu",,,22
220138,AAST,"African American Studies",241,"Africa before 1850",FT,"Liberal Arts & Sciences",2316,History,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,"Grad Asst",,,12
220138,AAST,"African American Studies",247,"African American Hist to 1877",FT,"Liberal Arts & Sciences",2363,"Black Studies",7,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,"Smith, Micaela",,,13
220138,AAST,"African American Studies",249,"Black Freedom Movements",FT,"Liberal Arts & Sciences",2363,"Black Studies",9,9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,"Baer, Andrew",,,22
220138,AAST,"African American Studies",250,"Comparative Black Literatures",FT,"Liberal Arts & Sciences",2363,"Black Studies",2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,2,"Barnes, Natasha B.",,,11
220138,AAST,"African American Studies",265,"The Harlem Renaissance",FT,"Liberal Arts & Sciences",2363,"Black Studies",2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Clarke, Ainsworth A.",,,12
220138,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,1,5,2,5,5,0,0,0,0,0,0,0,0,0,0,1,"Thomas, Barbara Ann",,,19
220138,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,18,89,120,23,23,0,0,0,3,0,0,0,0,0,0,10,"Galvan, Abel",,,286
220138,ACTG,Accounting,211,"Intro Managerial Accounting",FL,"Business Administration",2656,Accounting,45,62,70,4,2,0,0,0,3,0,0,0,0,0,0,9,"Gao, Feng",,,195
220138,ACTG,Accounting,315,"Intermediate Financial Actg I",FL,"Business Administration",2656,Accounting,18,27,51,11,11,0,0,0,0,0,0,0,0,0,0,8,"Leventhal, Brian W",,,126
220138,ACTG,Accounting,316,"Intermediate Financial Actg II",FL,"Business Administration",2656,Accounting,10,26,29,0,1,0,0,0,1,0,0,0,0,0,0,0,"Galvan, Abel",,,67
220138,ACTG,Accounting,326,"Cost Accounting",FL,"Business Administration",2656,Accounting,28,36,20,2,1,0,0,0,0,0,3,0,0,0,0,3,"Lee, Sung-Han",,,93
220138,ACTG,Accounting,355,"Business Law I",FL,"Business Administration",2656,Accounting,29,61,37,6,2,0,0,0,0,0,0,0,0,0,0,3,"Roe, Helen M",,,138
220138,ACTG,Accounting,417,"Adv Financial Accounting",FL,"Business Administration",2656,Accounting,16,17,11,5,0,0,0,0,0,0,1,0,0,0,0,3,"Salama, Yehia A.",,,53
220138,ACTG,Accounting,435,Auditing,FL,"Business Administration",2656,Accounting,22,30,19,7,0,0,0,0,0,0,0,0,0,0,0,2,"Casey, Ryan J",,,80
220138,ACTG,Accounting,445,"Federal Income Tax I",FL,"Business Administration",2656,Accounting,30,33,11,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kolpien, Jennifer E",,,75
220138,ACTG,Accounting,446,"Federal Income Tax II",FL,"Business Administration",2656,Accounting,8,19,10,2,0,0,0,0,0,0,0,0,0,0,0,1,"Kemp, Robert E",,,40
220138,ACTG,Accounting,456,"Business Law II",FL,"Business Administration",2656,Accounting,6,11,4,0,2,0,0,0,0,0,0,0,0,0,0,0,"Roe, Helen M",,,23
220138,ACTG,Accounting,465,"Govt & Non-Profit Actg",FL,"Business Administration",2656,Accounting,7,14,4,2,1,0,0,0,0,0,0,0,0,0,0,0,"Kemp, Robert E",,,28
220138,ACTG,Accounting,470,"Ethical Environment Business",FL,"Business Administration",2656,Accounting,14,27,21,10,0,0,0,0,1,0,0,0,0,0,0,1,"Roe, George",,,74
220138,ACTG,Accounting,474,"Actg Information Systems",FL,"Business Administration",2656,Accounting,5,20,5,1,0,0,0,0,0,0,0,0,0,0,0,1,"Popowits, Michael T",,,32
